Company Name,Factory Address,Principal Exportable Product
1st & Fair Fashion Wear Pvt. Ltd.,"Holding # 2059, Joy Bangla Road, National University
Gazipur
Joydevpur","Shirts
											 ,Pants"
3A Fashions Ltd.,"Khejur Bagar, Baro Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
3M Composite Ltd.,"Lithe Complex, Asian High Way, Shanarpar
Narayanganj
Siddirganj","T-Shirts
											 ,Polo Shirts"
3N Fashion (BD) Ltd.,"Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar
Dhaka
Dakkhin Khan","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
3S International Ltd.,"144/1, Alubdi (Ground & 1st Floor), Pallobi
Dhaka
Mirpur-12","T-Shirts
											 ,Polo Shirts"
4 Star Fashions Ltd.,"385/1, East Rampura (6th Floor),
Dhaka
Rampura",Sweaters
4 You Clothing Ltd.,"167/1, Senpara Parbata, Section # 10
Dhaka
Mirpur","Shirts
											 ,Blouses											,Trousers"
4A Yarn Dyeing Ltd.,"Kaichabari, Banshbari, DEPZ Road
Dhaka
Dhaka","Sweaters
											 ,Pullovers											,Cardigans"
4S-Park Style Ltd.,"Durgapur, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Sleep Boxer											,Sweet Shirts"
N/A,N/A,N/A
9 Star Apparels Inds. Ltd.,"Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Uttara
Dhaka
Dhaka","Caps
											 ,Hats"
